[2025-05-27T18:23:25.247293200] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:28.026335] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:29.007119700] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:30.005883] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:32.001412100] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:38.235208200] PAGE_VIEW - User visited attack page (IP: 0:0:0:0:0:0:0:1, Path: /attack, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:39.156061700] PAGE_VIEW - User viewed AI team (IP: 0:0:0:0:0:0:0:1, Path: /ai-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:39.901361200] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:43.065309600] PAGE_VIEW - User viewed AI team (IP: 0:0:0:0:0:0:0:1, Path: /ai-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:45.152047] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:46.720486100] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:51.433316100] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:23:53.198139500] PAGE_VIEW - User visited home page (IP: 0:0:0:0:0:0:0:1, Path: /, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:24:59.149203900] PAGE_VIEW - User viewed presentation (IP: 0:0:0:0:0:0:0:1, Path: /presentation, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:08.438638600] PAGE_VIEW - User visited home page (IP: 0:0:0:0:0:0:0:1, Path: /, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:10.397663400] PAGE_VIEW - User viewed security team (IP: 0:0:0:0:0:0:0:1, Path: /security-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:11.512781500] PAGE_VIEW - User viewed monitoring team (IP: 0:0:0:0:0:0:0:1, Path: /monitoring-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:12.429927600] PAGE_VIEW - User viewed AI team (IP: 0:0:0:0:0:0:0:1, Path: /ai-team, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:25:13.401878500] PAGE_VIEW - User visited attack page (IP: 0:0:0:0:0:0:0:1, Path: /attack, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:08.732670400] PAGE_VIEW - User viewed AI team (IP: 127.0.0.1, Path: /ai-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:11.120581300] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:19.375635800] PAGE_VIEW - User viewed AI team (IP: 127.0.0.1, Path: /ai-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:34.906260500] PAGE_VIEW - User viewed monitoring team (IP: 127.0.0.1, Path: /monitoring-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:51:36.642656100] PAGE_VIEW - User viewed security team (IP: 127.0.0.1, Path: /security-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:52:03.863326900] PAGE_VIEW - User viewed monitoring team (IP: 127.0.0.1, Path: /monitoring-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:52:05.504184900] PAGE_VIEW - User viewed AI team (IP: 127.0.0.1, Path: /ai-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:52:07.568145800] PAGE_VIEW - User viewed monitoring team (IP: 127.0.0.1, Path: /monitoring-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:52:09.716384900] PAGE_VIEW - User viewed security team (IP: 127.0.0.1, Path: /security-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:54:19.878040200] PAGE_VIEW - User viewed security team (IP: 127.0.0.1, Path: /security-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:54:30.625673700] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:54:31.729298700] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:54:38.073274300] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:56:01.061672200] PAGE_VIEW - User viewed presentation (IP: 127.0.0.1, Path: /presentation, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:56:33.570454700] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:56:47.340090] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:57:02.312378400] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:58:14.916101600] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T18:58:15.969183600] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:00:52.097443800] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:00:55.331118200] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:01:18.825555200] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:01:20.269669900] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:01:37.844283600] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:06:00.962840100] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:06:02.374502700] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:08:24.759558200] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:08:25.897552300] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:08:56.736697100] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:08:56.736697100] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:12:29.739001] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:12:32.417797100] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:13:14.385727] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:14:13.068958800] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:14:13.132108800] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:20:54.860387] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:22:30.585429400] PAGE_VIEW - User viewed security team (IP: 127.0.0.1, Path: /security-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:22:35.224346900] PAGE_VIEW - User viewed security team (IP: 127.0.0.1, Path: /security-team, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:22:37.723480100] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T19:23:34.948604400] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
<<<<<<< HEAD
[2025-05-27T21:14:24.791233960] PAGE_VIEW - User visited home page (IP: 127.0.0.1, Path: /, Status: 200, Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T21:14:30.628036558] VIEW_LOGS - User viewed system logs (IP: 127.0.0.1, Path: /logs, Status: 200, Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
[2025-05-27T21:14:34.154752915] PAGE_VIEW - User visited attack page (IP: 127.0.0.1, Path: /attack, Status: 200, Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36)
